Date,Open,High,Low,Close,Adj Close,Volume
2019-12-26,732.000000,732.000000,732.000000,732.000000,732.000000,400
2019-12-27,735.000000,735.000000,735.000000,735.000000,735.000000,200
2019-12-30,735.000000,735.000000,730.000000,730.000000,730.000000,1300
2020-01-02,731.000000,731.000000,731.000000,731.000000,731.000000,100
2020-01-03,731.000000,731.000000,731.000000,731.000000,731.000000,0
2020-01-06,734.000000,734.000000,734.000000,734.000000,734.000000,100
2020-01-07,734.000000,734.000000,734.000000,734.000000,734.000000,0
2020-01-08,726.000000,726.000000,725.000000,725.000000,725.000000,200
2020-01-09,725.000000,725.000000,725.000000,725.000000,725.000000,0
2020-01-10,725.000000,725.000000,725.000000,725.000000,725.000000,0
2020-01-13,725.000000,725.000000,725.000000,725.000000,725.000000,0
2020-01-14,727.000000,727.000000,727.000000,727.000000,727.000000,12000
2020-01-15,729.000000,729.000000,729.000000,729.000000,729.000000,100
2020-01-16,726.000000,726.000000,725.000000,725.000000,725.000000,200
2020-01-17,725.000000,725.000000,725.000000,725.000000,725.000000,0
2020-01-20,725.000000,725.000000,725.000000,725.000000,725.000000,0
2020-01-21,725.000000,725.000000,725.000000,725.000000,725.000000,0
2020-01-22,721.000000,721.000000,721.000000,721.000000,721.000000,1000
2020-01-23,721.000000,721.000000,721.000000,721.000000,721.000000,0
2020-01-24,721.000000,721.000000,721.000000,721.000000,721.000000,0
2020-01-27,704.000000,704.000000,701.000000,701.000000,701.000000,200
2020-01-28,695.000000,695.000000,695.000000,695.000000,695.000000,100
2020-01-29,698.000000,698.000000,698.000000,698.000000,698.000000,100
2020-01-30,698.000000,698.000000,698.000000,698.000000,698.000000,0
2020-01-31,698.000000,698.000000,698.000000,698.000000,698.000000,0
2020-02-03,670.000000,670.000000,670.000000,670.000000,670.000000,1100
2020-02-04,672.000000,672.000000,672.000000,672.000000,672.000000,100
2020-02-05,672.000000,672.000000,672.000000,672.000000,672.000000,0
2020-02-06,677.000000,677.000000,677.000000,677.000000,677.000000,400
2020-02-07,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-10,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-11,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-12,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-13,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-14,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-17,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-18,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-19,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-20,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-21,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-24,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-25,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-26,677.000000,677.000000,677.000000,677.000000,677.000000,0
2020-02-27,627.000000,627.000000,627.000000,627.000000,627.000000,4800
2020-02-28,627.000000,627.000000,627.000000,627.000000,627.000000,0
2020-03-02,627.000000,627.000000,627.000000,627.000000,627.000000,0
2020-03-03,627.000000,627.000000,627.000000,627.000000,627.000000,0
2020-03-04,627.000000,627.000000,627.000000,627.000000,627.000000,300
2020-03-05,627.000000,627.000000,627.000000,627.000000,627.000000,0
2020-03-06,627.000000,627.000000,627.000000,627.000000,627.000000,0
2020-03-09,627.000000,627.000000,567.000000,567.000000,567.000000,200
2020-03-10,567.000000,567.000000,567.000000,567.000000,567.000000,0
2020-03-11,568.000000,568.000000,568.000000,568.000000,568.000000,2000
2020-03-12,528.000000,528.000000,527.000000,527.000000,527.000000,1100
2020-03-13,527.000000,527.000000,527.000000,527.000000,527.000000,0
2020-03-16,527.000000,527.000000,527.000000,527.000000,527.000000,0
2020-03-17,457.000000,457.000000,457.000000,457.000000,457.000000,100
2020-03-18,426.000000,426.000000,426.000000,426.000000,426.000000,100
2020-03-19,397.000000,397.000000,397.000000,397.000000,397.000000,200
2020-03-20,397.000000,397.000000,397.000000,397.000000,397.000000,0
